ID,NAME,ADDR1,BORO,ZIP,LNG,LAT
465,K001 - P.S. 1 Bergen,309 47th Street,Brooklyn,11220,-74.01229,40.64903
478,K016 - P.S. 16 Leonard Dunkly,157 Wilson Street,Brooklyn,11211,-73.96148,40.70602
988,K043 - I.S. 98 Bay Academy,1401 Emmons Avenue,Brooklyn,11235,-73.95404,40.58312
606,K055 - I.S. 55,2021 Bergen Street,Brooklyn,11233,-73.91327,40.6741
3005,K071 - I.S. 71 Juan Morel Campos,215 Heyward Street,Brooklyn,11206,-73.95315,40.70362
491,K088 - I.S. 88 Peter Rouget,544 7th Avenue,Brooklyn,11215,-73.98764,40.66002
494,K094 - P.S. 94 Henry Longfellow,5010 6th Avenue,Brooklyn,11220,-74.00825,40.64365
996,K097 - P.S. 97 Highlawn,1855 Stillwell Avenue,Brooklyn,11223,-73.98614,40.60143
881,K126 - J.H.S 126 John Ericsson,424 Leonard Street,Brooklyn,11222,-73.94863,40.71981
404,K131 - P.S. 131,4305 Fort Hamilton Parkway,Brooklyn,11219,-73.99348,40.64115
421,K135 - P.S. 135 Sheldon A Brookner,684 Linden Boulevard,Brooklyn,11203,-73.93312,40.65363
617,K138 - P.S. 138,760 Prospect Place,Brooklyn,11216,-73.95144,40.67437
1004,K142 - P.S. 146,610 Henry Street,Brooklyn,11231,-74.00138,40.68006
1310,K175 - Teacher's Prep High School,226 Bristol Street,Brooklyn,11212,-73.91171,40.66587
1012,K179 - P.S. 179 Kensington,202 Avenue C,Brooklyn,11218,-73.97764,40.64046
561,K181 - P.S. 181,1023 New York Avenue,Brooklyn,11203,-73.94637,40.64821
568,K186 - P.S. 186 Dr. Irving A Gladstone,7601 19th Avenue,Brooklyn,11214,-73.99468,40.61148
571,K196 - P.S. 196,207 Bushwick Avenue,Brooklyn,11206,-73.94,40.70872
474,K205 - P.S. 205 Clarion,6701 20th Avenue,Brooklyn,11204,-73.98715,40.61526
479,K217 - P.S. 217 Colonel David Marcus,1100 Newkirk Avenue,Brooklyn,11230,-73.96656,40.63397
1035,K219 - P.S. 219 Kennedy-King,1060 Clarkson Avenue,Brooklyn,11212,-73.92292,40.65928
916,K222 - P.S. 222 Katherine Snyder,3301 Quentin Road,Brooklyn,11234,-73.93887,40.61331
1039,K233 - P.S. 233 Langston Hughes,9301 Avenue B,Brooklyn,11236,-73.91402,40.65102
1040,K234 - J.H.S. 234 Arthur W. Cunningham,1875 East 17th Street,Brooklyn,11229,-73.95548,40.60421
508,K256 - P.S. 256 Benjamin Banneker,114 Kosciuszko Street,Brooklyn,11216,-73.95043,40.69072
510,K258 - I.S. 258 David Ruggles,141 Macon Street,Brooklyn,11216,-73.94545,40.68156
1060,K288 - P.S. 288 Shirley Tanyhill,2950 West 25th Street,Brooklyn,11224,-73.99194,40.5744
926,K296 - I.S. 296 Halsey School,125 Covert Street,Brooklyn,11214,-73.91028,40.68838
3010,K302 - J.H.S. 302 Rafael Cordero,350 Linwood Street,Brooklyn,11208,-73.88343,40.6771
1062,K306 - P.S. 306 Ethan Allen,970 Vermont Street,Brooklyn,11207,-73.88655,40.65599
3011,K313 - Adams Street Campus,283 Adams Street,Brooklyn,11201,-73.98884,40.69492
463,K314 - P.S. 314,330 59th Street,Brooklyn,11220,-74.019,40.64211
515,K324 - I.S. 324,800 Gates Avenue,Brooklyn,11221,-73.93228,40.68831
872,K345 - P.S. 345 Robert Boldon,111 Berriman Street,Brooklyn,11208,-73.88034,40.67612
528,K395 - P.S. 109,1001 East 45th Street,Brooklyn,11203,-73.93358,40.63645
930,K400 - Lafayette High School,2630 Benson Avenue,Brooklyn,11219,-73.98577,40.59428
931,K410 - Abraham Lincoln High School,2800 Ocean Parkway,Brooklyn,11235,-73.96731,40.58167
886,K420 - Franklin K. Lane High School,999 Jamaica Avenue,Brooklyn,11208,-73.87019,40.6907
934,K446 - New Utrecht High School,1601 80th Street,Brooklyn,11214,-74.0034,40.61325
579,K460 - John Jay High School,237 7th Avenue,Brooklyn,11215,-73.97929,40.66962
580,K465 - Erasmus High School,911 Flatbush Avenue,Brooklyn,11226,-73.95855,40.64977
581,K470 - George Wingate Educational Campus,600 Kingston Avenue,Brooklyn,11203,-73.94246,40.65889
935,K480 - Bushwick Educational Campus,400 Irving Avenue,Brooklyn,11237,-73.91079,40.69696
584,K486 - I.S. 187 Christa McAuliffe School,1171 65th Street,Brooklyn,11219,-74.00449,40.62778
936,K490 - Fort Hamilton High School,8301 Shore Road,Brooklyn,11209,-74.04005,40.62781
1069,K495 - Sheepshead Bay High School,3000 Avenue X,Brooklyn,11235,-73.9377,40.59412
937,K500 - Canarsie High School,1600 Rockaway Parkway,Brooklyn,11236,-73.8985,40.64169
938,K515 - South Shore Educational Campus,6565 Flatlands Avenue,Brooklyn,11236,-73.91673,40.63328
939,K525 - Edward R. Murrow High School,1600 Avenue L,Brooklyn,11230,-73.95928,40.62052
534,K580 - George Westinghouse Vocational HS,105 Johnson Street,Brooklyn,11201,-73.98602,40.69492
587,K600 - Clara Barton High School,901 Classon Avenue,Brooklyn,11225,-73.96196,40.66956
342,M025 - Marta Valle Secondary School,145 Stanton Street,Manhattan,10002,-73.98565,40.72057
267,M028 - P.S. 28 Wright Brothers,475 West 155th Street,Manhattan,10032,-73.94214,40.83122
1107,M033 - P.S. 33 Chelsea Prep,281 9th Avenue,Manhattan,10001,-73.99965,40.74881
1109,M040 - P.S. 040 Augustus Saint-Gaudens,319 East 19th Street,Manhattan,10003,-73.98203,40.73515
1322,M041 - P.S. 041 Greenwich Village,116 West 11th Street,Manhattan,10011,-73.99903,40.73569
263,M044 - J.H.S. M044 William J. O'Shea,100 West 77th Street,Manhattan,10024,-73.97686,40.78082
1311,M052 - I.S. 52 Inwood,650 Academy Street,Manhattan,10034,-73.92483,40.86605
1122,M064 - Tompkins Square Middle School,600 East 6th Street,Manhattan,10009,-73.98138,40.72437
1129,M083 - P.S. 83,219 East 109th Street,Manhattan,10029,-73.94255,40.79319
353,M088 - Wadleigh Campus/I.S. 88,215 West 114 Street,Manhattan,10026,-73.95414,40.8022
1131,M089 - P.S. 89,201 Warren Street,Manhattan,10282,-74.01355,40.71665
355,M090 - I.S. 90 Mirabel Sisters School,21 Jumel Place,Manhattan,10032,-73.93616,40.8393
356,M092 - P.S. 92 Mary McLeod Bethune,222 West 134th Street,Manhattan,10030,-73.94512,40.81501
377,M111 - P.S. 111 Adolph S Ochs,440 West 53rd Street,Manhattan,10019,-73.98882,40.76587
1414,M118 - I.S. 118,154 West 93rd Street,Manhattan,10025,-73.97084,40.79172
393,M134 - PS 134 Henrietta Szold,293 East Broadway,Manhattan,10002,-73.98372,40.71456
1149,M142 - P.S. 142 Amalia Castro,100 Attorney Street,Manhattan,10002,-73.98445,40.71838
396,M143 - J.H.S. 143 Eleanor Roosevelt,511 West 182nd Street,Manhattan,10033,-73.93095,40.8489
391,M153 - P.S. 153 Adam Clayton Powell,1750 Amsterdam Avenue,Manhattan,10031,-73.94684,40.82629
864,M165 - P.S. 165,234 West 109th Street,Manhattan,10025,-73.96539,40.80281
410,M167 - I.S. 167 Robert Wagner,220 East 76th Street,Manhattan,10021,-73.95807,40.77204
420,M183 - P.S. 183 Robert L. Stevenson,419 East 66th Street,Manhattan,10021,-73.95815,40.76373
1162,M195 - Terrance Tolbert Educational Complex,625 West 133rd Street,Manhattan,10027,-73.95744,40.8194
1164,M198 - P.S. 77 Lower Lab School,1700 3rd Avenue,Manhattan,10128,-73.94961,40.78482
427,M199 - P.S. 199 Jessie Isador Straus,270 West 70th Street,Manhattan,10023,-73.98445,40.77805
435,M465 - George Washington High School,549 Audubon Avenue,Manhattan,10040,-73.92705,40.85595
436,M470 - Louis D. Brandeis High School,145 West 84th Street,Manhattan,10024,-73.97461,40.7858
865,M535 - Park West High School,525 West 50th Street,Manhattan,10019,-73.99269,40.76506
107,Q005 - I.S. 5 Walter Crowley,50-40 Jacobus Street,Queens,11373,-73.88743,40.73771
109,Q012 - P.S. 12 James B Colgate,42-00 72nd Street,Queens,11377,-73.8928,40.74263
