NAME,DETAIL,PHONE,ADDR1,ZIP,BORO,X,Y,EMAIL,WEBSITE
P.S. 015 Roberto Clemente,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-228-8730,333 East 4 Street,10009,Manhattan,990123,202281,LSalmon@schools.nyc.gov,https://www.PS15.org
P.S. 019 Asher Levy,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-533-5340,185 First Avenue,10003,Manhattan,988634,205140,mcruz77@schools.nyc.gov,www.ps19school.com
P.S. 020 Anna Silver,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-254-9577,166 ESSEX STREET,10002,Manhattan,988025,202056,SPinto4@schools.nyc.gov,http://ps20m.weebly.com
P.S. 034 Franklin D. Roosevelt,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-228-4433,730 East 12 Street,10009,Manhattan,991118,203875,aloukatos@schools.nyc.gov,http://schools.nyc.gov/schoolportals/01/m034
The STAR Academy - P.S.63,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-674-3180,121 East 3 Street,10009,Manhattan,988036,203208,staracademyps63@gmail.com,www.staracademyps63.com
P.S. 064 Robert Simon,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-673-6510,600 East 6 Street,10009,Manhattan,989364,203121,mhosang@schools.nyc.gov,http://schools.nyc.gov/schoolportals/01/m064
P.S. 110 Florence Nightingale,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-674-2690,285 DELANCY STREET,10002,Manhattan,989803,199925,KFeuer@schools.nyc.gov,https://ps110pta.org
P.S. 134 Henrietta Szold,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-673-4470,293 EAST BROADWAY,10002,Manhattan,988696,199514,dkim@schools.nyc.gov,http://schools.nyc.gov/schoolportals/01/m134
P.S. 140 Nathan Straus,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-677-4680,123 RIDGE STREET,10002,Manhattan,988831,201263,mrodrig19@schools.nyc.gov,PS140.org
P.S. 142 Amalia Castro,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-598-3800,100 ATTORNEY STREET,10002,Manhattan,988655,200914,dgutman@schools.nyc.gov,www.ps142m.org
P.S. 184m Shuang Wen,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-602-9700,327 CHERRY STREET,10002,Manhattan,988196,198439,MJu2@schools.nyc.gov,www.ps184m.org
P.S. 188 The Island School,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-677-5710,442 EAST HOUSTON STREET,10002,Manhattan,990502,201596,MRosales@schools.nyc.gov,theislandschool.nyc
The East Village Community School,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-982-0682,610 East 12 Street,10009,Manhattan,990187,204415,jamespc@evcs.me,www.evcsnyc.org
The Children's Workshop School,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-614-9531,610 East 12 Street,10009,Manhattan,990267,204367,mvelez4@schools.nyc.gov,http://schools.nyc.gov/schoolportals/01/m361
Neighborhood School,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-387-0195,121 East 3 Street,10009,Manhattan,988085,203178,NMora@schools.nyc.gov,https://tnsny.org
Earth School,"<b>Note:</b> The District 1 Diversity in Admissions pilot gives a priority to Students in Temporary Housing (STH), to students who home language is a language other than English, and to students who qualify for Free and Reduced Lunch (FRL) for 67% of offers at every District 1 elementary school for kindergarten. Students who do not fall into any of these groups will get a priority for the remaining 33% of offers. We encourage families applying only to District 1 schools to list at least five District 1 programs on their application to increase the chances of receiving an offer to one of these schools. ",212-477-1735,600 East 6 Street,10009,Manhattan,989435,203081,afutterman2@schools.nyc.gov,https://theearthschool.org
Immaculate Conception School,,212-475-1529,419 East 13 Street,10009,Manhattan,989155,205415,k.bozzello@immaculateconceptionschoolnyc.org,https://immaculateconceptionschoolnyc.org
